LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,236.4960,
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,210.0430,
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,195.5000,
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,197.1110,
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,180.5450,
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,177.7130,
Finland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,182.5820,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,301.9990,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,302.0480,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,291.3770,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,285.2760,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,263.1660,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,273.1470,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,260.3840,
France,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,263.1820,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,479.2800,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,469.8480,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,449.5210,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,453.7180,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,436.5040,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,457.7020,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,452.7780,
Germany,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,450.0250,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,532.1170,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,563.0440,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,559.1860,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,535.3850,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,530.8640,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,553.5570,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,543.9280,
Greece,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,555.6710,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,654.0420,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,655.4850,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,620.3850,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,599.4940,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,576.2020,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,632.2440,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,577.6230,
Hungary,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,574.8260,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,173.4970,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,176.1160,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,161.0160,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,159.1190,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,152.5840,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,154.6670,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,143.3900,
Iceland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,145.1450,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,227.1580,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,237.4860,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,229.1080,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,226.1670,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,213.6260,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,214.5610,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,207.4380,
Ireland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,209.8190,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,448.5080,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,469.5250,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,453.5900,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,443.7800,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,439.6500,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,461.3890,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,433.1940,
Italy,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,436.2490,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,353.1200,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,363.8570,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,347.9600,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,353.8540,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,341.0080,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,343.3690,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,334.0020,
Japan,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,346.3380,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,296.1890,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,303.5380,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,304.8550,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,311.9770,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,303.4590,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,315.1520,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,304.2310,
Korea,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,316.4880,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,299.0440,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,290.1830,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,274.3260,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,265.9160,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,253.7620,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,257.2780,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,245.0510,
Luxembourg,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,247.8220,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,235.8230,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,242.4560,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,241.3420,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,247.8090,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,245.7900,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,244.8940,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,247.2220,
Mexico,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,254.0430,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,387.8470,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,382.3540,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,366.5500,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,349.0370,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,337.9830,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,348.8100,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,341.0390,
Netherlands,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,348.8520,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,179.8010,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,188.7280,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,169.0490,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,164.6190,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,151.2140,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,150.4160,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,139.9670,
New Zealand,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,140.7410,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,258.2410,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,272.5650,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,230.9540,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,220.3260,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,210.2880,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,189.9520,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,180.2150,
Norway,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,182.3320,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,600.8060,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,594.5620,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,583.8370,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,568.1860,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,549.5400,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,576.0040,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,553.8330,
Poland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,554.7710,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,376.2240,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,379.6710,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,360.6930,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,358.5850,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,337.4940,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,338.8220,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,325.3500,
Portugal,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,342.4080,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,608.7080,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,600.5450,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,563.0300,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,546.9840,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,528.8550,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,553.7030,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,523.2610,
Slovak Republic,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,530.1030,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,306.3780,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,320.6270,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,308.4850,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,296.2080,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,287.2260,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,308.1380,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,289.2740,
Spain,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,289.4730,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,259.1230,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,264.2080,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,225.8150,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,212.3200,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,231.6270,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,200.1600,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,188.6900,
Sweden,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,193.5060,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,294.6010,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,285.4090,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,274.5190,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,266.0560,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,252.0540,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,249.7690,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,234.7400,
Switzerland,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,232.8870,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,379.1290,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,379.1130,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,357.4420,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,356.2950,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,335.1720,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,341.1940,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,335.7490,
United Kingdom,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,336.8620,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,306.2930,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,316.7460,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,298.2420,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,291.0550,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,277.7250,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,276.3400,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,259.2430,
United States,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,263.2270,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,258.3230,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,263.0010,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,256.6980,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,257.5860,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,252.3460,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,255.9490,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,252.5860,
Chile,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,263.5220,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,176.2280,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,173.8290,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,173.8290,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,171.6690,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,171.5410,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,175.3750,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,176.9750,
Colombia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,184.0790,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,314.5440,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,306.3570,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,284.0180,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,267.0700,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,275.3200,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,242.5490,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,242.6960,
Estonia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,244.3390,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,296.7000,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,302.0870,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,292.6610,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,290.9000,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,284.1210,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,294.5640,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,279.2020,
Israel,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,284.1420,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,733.3240,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,703.0920,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,682.6460,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,678.4350,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,666.7900,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,642.0360,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,640.3410,
Latvia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,645.7920,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,709.7970,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,703.9930,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,691.0100,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,689.0980,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,670.6190,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,678.0910,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,667.0220,
Lithuania,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,671.3620,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2010,378.4670,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2011,384.3460,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2012,375.0450,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2013,375.7220,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2014,350.2570,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2015,371.5170,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2016,361.2660,
Slovenia,POLLUTIONEFFECT,MORTALITY,1000000HAB,A,2017,372.6520,
